class,bytes_rev,bytes,packets,packets_rev,packets_sum,bytes_ration,num_pkts_ration,time,av_pkt_size,av_pkt_size_rev,var_pkt_size,var_pkt_size_rev,median_pkt_size,median_pkt_size_rev,mindelay,avgdelay,maxdelay,bursts,fizzles,time_leap_ration,autocorr,stSum,ndSum,rdSum
False,3547,1759,12,13,25,0.495912038342261,0.9230769230769232,13641.518,146.58333333333334,272.84615384615387,55344.240000000005,259746.25,92.0,253.0,9.424,25.7414,34.286,0,0,1.0,0.6465376592306974,-1,2,-2
False,85792,1982,15,62,77,0.0231023871689668,0.2419354838709677,56.872,132.13333333333333,1383.741935483871,93986.88888888888,61018.46913580247,527.0,1460.0,8.144,24.60958620689655,37.94199999999999,0,0,1.0,0.0,-4,-9,-9
False,7047,7205,15,13,28,1.0224208883212715,1.1538461538461535,15632.472000000002,480.3333333333333,542.0769230769231,340510.8888888889,273118.37869822484,50.0,396.0,12.314,645.9827407407408,15632.472000000002,0,0,1.0,0.0,-1,4,-1
False,4138,2232,16,12,28,0.5393910101498308,1.3333333333333333,1686.482,139.5,344.8333333333333,35864.97959183673,1258723.2222222218,126.0,60.0,248.734,748.2044999999999,1187.298,0,0,1.0,0.8787056006238882,0,3,0
False,6277,1781,13,13,26,0.2837342679624024,1.0,18175.012,137.0,482.84615384615387,46394.47222222223,346844.6666666666,78.0,467.0,35.764,63.76185714285713,87.784,0,0,1.0,0.0,-3,0,-2
False,8159,1585,12,17,29,0.1942640029415369,0.7058823529411765,13371.446,132.08333333333334,479.9411764705882,33593.84,395086.2222222223,99.0,1074.0,22.742,1212.4089230769232,13352.422,0,0,1.0,0.0,-2,3,-3
False,3796,1347,12,9,21,0.3548472075869336,1.3333333333333333,2132.012,112.25,421.77777777777777,35057.1875,410693.0399999999,143.5,311.0,652.408,867.523,1341.66,0,0,1.0,0.0,-1,2,0
True,7189,1253,14,12,26,0.1742940603700097,1.1666666666666667,1201.146,89.5,599.0833333333334,0.0,350328.024691358,517.0,531.0,253.3,256.488,261.864,0,0,1.0,0.0,-1,-2,-3
False,4684,1785,12,14,26,0.3810845431255337,0.8571428571428571,11724.25,148.75,334.57142857142856,50185.84,268408.5306122449,99.0,483.0,23.498,1130.1961818181817,11701.624,0,0,1.0,0.5158732735110544,-2,1,-1
False,1602,1166,8,6,14,0.7278401997503121,1.3333333333333333,5791.402,145.75,267.0,0.0,0.0,371.0,641.0,230.672,388.9026666666667,585.7860000000001,0,0,1.0,0.0,0,0,0
